pixar001,4
pixar002,4
pixar003,5
pixar004,5
pixar005,4
pixar006,5
pixar007,5
pixar008,5
pixar009,5
pixar010,5
pixar011,5
pixar012,5
pixar013,5
pixar014,5
pixar015,4
pixar016,5
pixar017,5
pixar018,4
pixar019,5
pixar020,5
pixar021,5
pixar022,5
pixar023,5
pixar024,5
pixar025,5
pixar026,5
pixar027,5
pixar028,5
pixar029,5
pixar030,5
pixar031,5
pixar032,4
pixar033,3
pixar034,3
pixar035,3
pixar036,4
pixar037,3
pixar038,3
pixar039,3
pixar040,4
pixar041,4
pixar042,4
pixar043,3
pixar044,3
pixar045,4
pixar046,3
pixar047,4
pixar048,3
pixar049,4
pixar050,4
pixar051,4
pixar052,4
pixar053,4
pixar054,3
pixar055,3
pixar056,4
pixar057,3
pixar058,4
pixar059,3
pixar060,4
pixar061,3
pixar062,4
pixar063,4
pixar064,4
pixar065,4
pixar066,3
pixar067,2
pixar068,2
pixar069,2
pixar070,3
pixar071,3
pixar072,2
pixar073,2
pixar074,2
pixar075,2
pixar076,3
pixar077,2
pixar078,2
pixar079,3
pixar080,2
pixar081,2
pixar082,1
pixar083,3
pixar084,3
pixar085,2
pixar086,3
pixar087,1
pixar088,2
pixar089,2
pixar090,2
pixar091,1
pixar092,2
pixar093,2
pixar094,1
pixar095,1
pixar096,3
pixar097,2
pixar098,1
pixar099,2
pixar100,1
pixar101,1
pixar102,1
pixar103,1
pixar104,2
pixar105,2
pixar106,2
pixar107,1
pixar108,1
pixar109,1
pixar110,1
pixar111,2
pixar112,1
pixar113,1
pixar114,3
pixar115,1
pixar116,2
pixar117,1
pixar118,1
pixar119,2
pixar120,1
pixar121,2
pixar122,3
pixar123,0
pixar124,0
pixar125,0
pixar126,0
pixar127,0
pixar128,0
pixar129,0
pixar130,0
pixar131,0
pixar132,0
pixar133,0
pixar134,0
pixar135,0
pixar136,0
pixar137,0
pixar138,0
pixar139,0
pixar140,0
pixar141,0
pixar142,0
pixar143,0
pixar144,0
pixar145,0
pixar146,0
pixar147,0
pixar148,0
pixar149,0
pixar150,0
pixar151,0
pixar152,0
pixar153,0
pixar154,0
pixar155,0
