TR (2 sec) NOT Adjusted for HRF,TY Scene Title,Richardson scenes,Boundary salience (# subs out of 22),Transition,Location,Sky color,# Characters ,Peck present,Gus present,Shot Scale,Words on Screen,Arousal,Valence,Dominant Emotion,Description,
1,REST -- black screen,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
6,Disney opening,,0,fade in,Disney,dark blue,0,no,no,2,no,1,0,neutral,Disney castle begins to appear,
7,,,1,,Disney,dark blue,0,no,no,2,yes,1,0,neutral,"Star finishes arc around the Disney castle, Walt Disney Pictures logo fades in ",
8,Pixar opening,,2,fade in,Blue room,n/a,0,no,no,2,yes,1,0,neutral,Pixar Animation Studios appears on the screen. A lamp is facing towards the ground and begins motion towards the camera,
9,,,6,fade out,Blue room,n/a,0,no,no,2,yes,1,0,neutral,Lamp shines light at the camera. Pixar Animation Studios fades from view,
10,Title screen,,1,fade in,Cloudy sky,light orange,0,no,no,2,no,1,0,neutral,An orange and pink colored sky appears on the screen. ,
11,,,7,,Cloudy sky,light orange,0,no,no,2,yes,1,0,neutral,The title Partly Cloudy fades in,
12,Birds flying,,4,,Cloudy sky,light orange,3,no,no,2,no,2,0,neutral,The title fades away and a handful of birds fly across the colorful sky,
13,,,4,,Cloudy sky,light orange,12,no,no,2,no,2,0,neutral,More birds fly across the sky holding parcels with their beaks. The camera shakes a bit as birds come into view,
14,,,7,,Cloudy sky,light orange,12,no,no,2,no,2,0,neutral,Birds continue to fly across the sky,
15,,,0,,Cloudy sky,light orange,12,no,no,2,no,2,0,neutral,One of the birds begins to descend from the sky,
16,Delivering babies,,2,pan ,Neighborhood,light orange,1,no,no,3,no,2,0,neutral,"One bird lands outside of an open window of a green house in a neighborhood, still holding the parcel in his beak",
17,,,7,,Neighborhood,light orange,3,no,no,3,no,3,+,joy,The bird places the parcel on the window ledge and it opens to reveal a human baby. The baby makes some sort of noise. A person comes into view from inside of the house to touch the baby ,
18,,,10,pan ,Neighborhood,light orange,1,no,no,6,no,3,+,joy,A new bird swoops from the sky past the other bird and the baby,
19,,,3,,Neighborhood,light orange,1,no,no,5,no,3,+,joy,This bird lands on the doorstep to a house with a red door. The bird starts to lower its parcel,
20,,,4,,Neighborhood,light orange,3,no,no,5,no,3,+,joy,The parcel opens up and two orange kittens land on the doorstep. One of the kittens looks like it meows,
21,,,10,pan ,Neighborhood,orange pink,1,no,no,6,no,3,+,joy,Camera moves across the ground to the house's backyard. There is a small red doghouse. A new bird flies and lands outside the doghouse,
22,,,7,,Neighborhood,orange pink,3,no,no,4,no,3,+,joy,"The parcel opens up and two puppies, one brown and one yellow, appear outside of the doghouse. ",
23,,,10,pan ,Neighborhood,orange pink,1,no,no,5,no,3,+,joy,The puppies start to run into the dog house where there is a big dog waiting. The bird flies away,
24,What's in the clouds?,,0,pan ,Cloudy sky,orange pink,6,no,no,2,no,3,0,neutral,The bird flies into the colorful sky and other birds are flying up as well,
25,,,7,,Cloudy sky,orange pink,6,no,no,2,no,3,0,neutral,Birds are flying towards the clouds,
26,,,1,,Cloudy sky,orange pink,2,no,no,4,no,3,0,neutral,The birds start to disappear behind a big fluffy pink cloud,
27,,,0,,Inside cloud,orange pink,0,no,no,7,no,4,0,neutral,We see the inside of the pink cloud,
28,,,0,,Cloud land,light orange,5,no,no,2,no,3,0,neutral,On the other side of the pink cloudy there are many more clouds. The birds continue to fly towards them,
29,,,2,,Cloud land,light orange,7,no,no,2,no,3,0,neutral,Birds continue to fly towards the clouds,
30,,,2,,Cloud land,light orange,7,no,no,2,no,3,0,neutral,One bird seems to be flying straight towards the middle cloud. ,
31,,,1,,Cloud land,light orange,2,no,no,3,no,3,0,neutral,The middle cloud turns around towards the bird and it has eyes and a nose. The bird begins to try to land at the foot of the cloud ,
32,,,5,,Cloud land,light orange,2,no,no,4,no,3,0,neutral,"The bird lands on the cloud. The cloud holds up a parcel in one hand and gestures towards it, showing the bird the parcel.",
33,,,10,pan ,Cloud land,light orange,4,no,no,3,no,3,0,neutral,Other clouds with faces are watching the birds with parcels in their hands. We see other birds starting to land ,
34,,,3,,Cloud land,light orange,4,no,no,4,no,3,0,neutral,One bird lands right in front on the base of a cloud,
35,,,1,pan ,Cloud land,light orange,0,no,no,5,no,4,0,suspense,"On the other side of the cloud where the bird landed, there is a small cloud shaped thing. ",
36,,,4,,Cloud land,light orange,0,no,no,5,no,4,0,suspense,Lightning comes from the cloud's hands and is directed towards the small cloud shaped thing.,
37,,,8,,Cloud land,light orange,1,no,no,5,no,4,+,joy,The small cloud shaped thing is turned into a small orange kitten. The kitten meows and licks its paw.,
38,,PAIN #1,5,pan ,Cloud land,light orange,0,no,no,5,no,4,+,joy,Lightning comes from a different cloud's hands onto a small cloud shaped thing,
39,,,5,,Cloud land,light orange,0,no,no,5,no,4,+,joy,The small cloud shaped thing is turned into a small brown dog. The brown dog immediately starts barking,
40,,,5,,Cloud land,light orange,2,no,no,4,no,4,+,joy,A bird lands next to the puppy. They both seem very happy. The cloud holds up a piece of cloud,
41,,,2,,Cloud land,light orange,2,no,no,4,no,4,+,joy,The piece of cloud turns into a bone. The cloud gives the bone to the dog. The dog chews the bone.,
42,,,1,pan ,Cloud land,light orange,3,no,no,3,no,4,+,joy,Another bird lands at the base of a different cloud. There appears to be a baby human in the cloud's hands ,
43,,,4,zoom in,Cloud land,light orange,3,no,no,5,no,4,-,sad,We look closer and see that the baby is crying,
44,,,4,,Cloud land,light orange,3,no,no,5,no,4,-,sad,The cloud makes a football out of a piece of cloud and gives it to the crying baby. ,
45,,,1,,Cloud land,light orange,3,no,no,5,no,4,+,joy,The baby sees the football and becomes happy. They all start laughing.,
46,,TOM #1,3,,Cloud land,light orange,3,no,no,5,no,4,+,joy,The cloud holds the baby in its hands and then creates a football helmet the size of the baby on its head. The baby laughs. ,
