x,y,age,cohort
16.14,-16.91,4.77,4
-8.64,15.31,4.86,4
-1.04,-29.96,4.15,5
11.26,22.67,4.47,5
7.62,1.79,4.84,4
14.44,2.56,3.61,5
28.09,15.08,4.25,5
2.18,16.80,3.53,5
-11.65,-9.33,3.52,5
3.37,-4.13,4.36,5
13.48,5.86,3.98,5
18.03,15.13,3.79,5
11.97,-18.93,3.85,5
-29.47,4.56,3.64,5
10.43,17.95,4.77,4
12.97,27.28,3.62,5
1.80,8.77,3.61,5
24.04,31.15,4.58,4
23.09,20.33,3.97,5
33.38,7.72,3.59,5
5.60,-20.45,4.36,5
19.07,-8.03,3.82,5
12.06,10.18,3.87,5
5.60,18.77,4.06,5
22.02,-5.36,3.93,5
23.62,-0.28,3.93,5
31.69,-7.50,3.99,5
-20.98,11.07,3.53,5
7.16,18.52,4.31,5
20.10,2.69,4.16,5
19.91,6.20,4.08,5
-6.42,16.68,5.43,4
-0.42,-16.89,5.81,3
-14.64,-11.40,5.99,3
-21.58,-3.07,5.99,3
3.01,-12.44,5.39,4
7.87,28.60,5.52,3
-11.74,-0.47,5.55,3
5.82,12.99,5.54,3
8.56,13.61,5.29,4
10.68,-14.88,5.49,4
6.86,0.10,5.01,4
7.85,8.74,5.79,3
12.86,-8.68,5.76,3
5.34,-9.81,5.18,4
-12.76,19.68,5.97,3
-9.61,-2.83,5.47,4
11.20,0.72,5.99,3
15.39,-3.99,5.23,4
-16.65,17.08,5.31,4
1.96,5.56,5.38,4
8.38,5.10,5.46,4
5.90,4.34,5.46,4
15.21,-7.08,5.99,3
13.77,12.61,5.82,3
-20.78,8.13,5.26,4
0.61,-6.03,5.66,3
1.38,1.22,5.13,4
2.16,-1.25,5.51,3
12.36,-2.45,5.12,4
-28.09,16.72,5.56,3
6.19,-13.63,5.46,4
-6.43,20.76,5.33,4
-14.06,5.97,5.44,4
4.46,1.27,5.02,4
-2.54,-12.61,7.00,3
3.89,-8.55,7.92,2
2.59,-24.62,7.92,2
-11.97,8.55,7.96,2
4.98,8.99,7.15,3
0.48,-16.09,7.13,3
-1.49,4.01,7.91,2
0.58,12.07,7.95,2
-4.91,7.21,7.95,2
-9.02,22.11,7.83,2
-14.18,22.30,7.06,3
-1.27,20.27,9.45,2
-1.14,-9.20,8.60,2
-8.70,4.14,7.07,3
0.93,-10.47,7.91,2
16.72,6.67,7.91,2
-4.30,3.97,9.76,1
-5.49,-18.87,7.28,3
-0.89,-0.18,7.10,3
-16.52,4.52,9.48,2
15.04,9.27,7.46,3
-3.02,12.94,9.96,1
-17.19,1.50,7.71,2
-1.86,13.48,8.02,2
-15.34,21.36,8.15,2
-2.44,-7.44,9.70,1
-5.99,9.08,8.48,2
-9.09,-10.90,8.59,2
-2.69,8.18,9.52,1
0.20,-30.39,9.94,1
3.12,3.97,7.13,3
7.36,-11.68,8.87,2
-1.89,5.97,10.19,1
-3.43,-9.95,7.66,2
4.06,-17.46,9.59,1
-1.12,26.70,11.17,1
-17.69,13.43,11.17,1
-15.47,-17.13,10.55,1
-8.95,-16.67,8.57,2
10.62,-24.38,8.66,2
8.98,-18.67,8.02,2
3.97,-25.17,11.51,1
-16.32,-3.85,10.70,1
2.37,-8.80,10.38,1
-18.93,-12.19,10.78,1
-12.25,-14.40,8.62,2
-6.78,-8.83,12.05,1
-14.64,1.25,10.29,1
-3.89,-26.14,7.43,3
5.76,-3.66,9.68,1
0.35,-36.46,7.68,2
0.32,-7.44,12.30,1
15.16,1.04,10.50,1
-1.14,-21.23,8.62,2
-6.72,-13.38,11.48,1
-4.08,-34.90,8.76,2
-14.27,10.73,7.21,3
8.81,-2.45,27.06,0
8.41,-8.50,33.44,0
0.10,5.47,31.00,0
-19.78,4.75,19.00,0
-5.28,-3.83,23.00,0
-6.97,-19.72,27.00,0
-11.56,-5.32,23.00,0
-7.33,-5.32,21.00,0
-14.11,-12.48,39.00,0
3.81,15.08,22.00,0
-18.90,-8.57,21.00,0
-1.79,-14.04,25.00,0
-4.99,-12.50,21.00,0
-3.78,-4.27,25.00,0
18.38,-12.17,34.00,0
-1.30,22.92,28.00,0
-7.42,-2.97,18.00,0
-3.95,24.40,19.00,0
-3.25,-19.48,22.00,0
-8.12,1.51,33.00,0
-6.86,6.28,22.00,0
0.01,-20.51,20.00,0
3.82,24.20,22.00,0
-0.86,15.17,18.00,0
9.08,-7.10,21.00,0
-10.13,-4.67,31.00,0
-19.06,-5.86,24.00,0
-6.12,-26.85,19.00,0
-4.96,1.76,23.00,0
-6.43,23.79,21.00,0
-7.98,11.89,30.00,0
-12.90,11.94,29.00,0
-10.41,0.98,26.00,0
